[2023-10-02 10:16:39,388] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,393] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,398] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,403] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,408] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,408] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,412] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,417] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,421] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(1umgTB-BRheyVfPb-LIhrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-02 10:16:39,425] INFO [Broker id=0] Leader pranav-1 with topic id Some(be2z4iZVT_qC-7vJP3LYSQ) starts at leader epoch 0 from offset 12 with partition epoch 0, high watermark 12, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
